ano,disciplina,acertos,escore
2017,LEM_FRANCÊS,2,304.14
2017,LEM_FRANCÊS,3,326.07
2017,LEM_FRANCÊS,4,348.01
2017,LEM_FRANCÊS,5,369.95
2017,LEM_FRANCÊS,6,391.88
2017,LEM_FRANCÊS,7,413.82
2017,LEM_FRANCÊS,8,435.76
2017,LEM_FRANCÊS,9,457.69
2017,LEM_FRANCÊS,10,479.63
2017,LEM_FRANCÊS,11,501.57
2017,LEM_FRANCÊS,12,523.5
2017,LEM_FRANCÊS,13,545.44
2017,LEM_FRANCÊS,14,567.38
2017,LEM_FRANCÊS,15,589.31
2017,LEM_ALEMÃO,1,279.37
2017,LEM_ALEMÃO,2,296.75
2017,LEM_ALEMÃO,3,314.13
2017,LEM_ALEMÃO,4,331.5
2017,LEM_ALEMÃO,5,348.88
2017,LEM_ALEMÃO,6,366.26
2017,LEM_ALEMÃO,7,383.63
2017,LEM_ALEMÃO,8,401.01
2017,LEM_ALEMÃO,9,418.38
2017,LEM_ALEMÃO,10,435.76
2017,LEM_ALEMÃO,11,453.14
2017,LEM_ALEMÃO,12,470.51
2017,LEM_ALEMÃO,13,487.89
2017,LEM_ALEMÃO,14,505.26
2017,LEM_ALEMÃO,15,522.64
2017,PORT_RED,1,175.2
2017,PORT_RED,2,196.78
2017,PORT_RED,3,218.36
2017,PORT_RED,4,239.94
2017,PORT_RED,5,261.52
2017,PORT_RED,6,283.09
2017,PORT_RED,7,304.67
2017,PORT_RED,8,326.25
2017,PORT_RED,9,347.83
2017,PORT_RED,10,369.4
2017,PORT_RED,11,390.98
2017,PORT_RED,12,412.56
2017,PORT_RED,13,434.14
2017,PORT_RED,14,455.72
2017,PORT_RED,15,477.29
2017,BIO,1,289.36
2017,BIO,2,314.07
2017,BIO,3,338.79
2017,BIO,4,363.5
2017,BIO,5,388.21
2017,BIO,6,412.92
2017,BIO,7,437.64
2017,BIO,8,462.35
2017,BIO,9,487.06
2017,BIO,10,511.78
2017,BIO,11,536.49
2017,BIO,12,561.2
2017,BIO,13,585.91
2017,BIO,14,610.63
2017,BIO,15,635.34
2017,QUI,1,329.08
2017,QUI,2,349.92
2017,QUI,3,370.76
2017,QUI,4,391.59
2017,QUI,5,412.43
2017,QUI,6,433.27
2017,QUI,7,454.11
2017,QUI,8,474.94
2017,QUI,9,495.78
2017,QUI,10,516.62
2017,QUI,11,537.46
2017,QUI,12,558.3
2017,QUI,13,579.13
2017,QUI,14,599.97
2017,QUI,15,620.81
2017,GEO,1,196.45
2017,GEO,2,221.81
2017,GEO,3,247.16
2017,GEO,4,272.52
2017,GEO,5,297.87
2017,GEO,6,323.23
2017,GEO,7,348.58
2017,GEO,8,373.94
2017,GEO,9,399.3
2017,GEO,10,424.65
2017,GEO,11,450.01
2017,GEO,12,475.36
2017,GEO,13,500.72
2017,GEO,14,526.07
2017,GEO,15,551.43
2017,HIS,1,251.39
2017,HIS,2,275.31
2017,HIS,3,299.24
2017,HIS,4,323.16
2017,HIS,5,347.09
2017,HIS,6,371.01
2017,HIS,7,394.94
2017,HIS,8,418.87
2017,HIS,9,442.79
2017,HIS,10,466.72
2017,HIS,11,490.64
2017,HIS,12,514.57
2017,HIS,13,538.49
2017,HIS,14,562.42
2017,HIS,15,586.35
2017,MAT,1,353.5
2017,MAT,2,377.3
2017,MAT,3,401.09
2017,MAT,4,424.89
2017,MAT,5,448.69
2017,MAT,6,472.48
2017,MAT,7,496.28
2017,MAT,8,520.07
2017,MAT,9,543.87
2017,MAT,10,567.67
2017,MAT,11,591.46
2017,MAT,12,615.26
2017,MAT,13,639.06
2017,MAT,14,662.85
2017,MAT,15,686.65
2018,FIS,1,312.93
2018,FIS,2,335.09
2018,FIS,3,357.25
2018,FIS,4,379.41
2018,FIS,5,401.57
2018,FIS,6,423.73
2018,FIS,7,445.89
2018,FIS,8,468.05
2018,FIS,9,490.21
2018,FIS,10,512.37
2018,FIS,11,534.53
2018,FIS,12,556.69
2018,FIS,13,578.85
2018,FIS,14,601.01
2018,FIS,15,623.17
2018,LEM_INGLÊS,1,325.11
2018,LEM_INGLÊS,2,348.12
2018,LEM_INGLÊS,3,371.12
2018,LEM_INGLÊS,4,394.13
2018,LEM_INGLÊS,5,417.13
2018,LEM_INGLÊS,6,440.14
2018,LEM_INGLÊS,7,463.14
2018,LEM_INGLÊS,8,486.15
2018,LEM_INGLÊS,9,509.15
2018,LEM_INGLÊS,10,532.16
2018,LEM_INGLÊS,11,555.16
2018,LEM_INGLÊS,12,578.17
2018,LEM_INGLÊS,13,601.18
2018,LEM_INGLÊS,14,624.18
2018,LEM_INGLÊS,15,647.19
2018,LEM_ESPANHOL,1,239.0
2018,LEM_ESPANHOL,2,262.5
2018,LEM_ESPANHOL,3,285.99
2018,LEM_ESPANHOL,4,309.49
2018,LEM_ESPANHOL,5,332.99
2018,LEM_ESPANHOL,6,356.49
2018,LEM_ESPANHOL,7,379.99
2018,LEM_ESPANHOL,8,403.49
2018,LEM_ESPANHOL,9,426.99
2018,LEM_ESPANHOL,10,450.49
2018,LEM_ESPANHOL,11,473.99
2018,LEM_ESPANHOL,12,497.49
2018,LEM_ESPANHOL,13,520.98
2018,LEM_ESPANHOL,14,544.48
2018,LEM_ESPANHOL,15,567.98
2018,LEM_ITALIANO,1,323.74
2018,LEM_ITALIANO,2,338.52
2018,LEM_ITALIANO,3,353.3
2018,LEM_ITALIANO,4,368.08
2018,LEM_ITALIANO,5,382.86
2018,LEM_ITALIANO,6,397.65
2018,LEM_ITALIANO,7,412.43
2018,LEM_ITALIANO,8,427.21
2018,LEM_ITALIANO,9,441.99
2018,LEM_ITALIANO,10,456.77
2018,LEM_ITALIANO,11,471.55
2018,LEM_ITALIANO,12,486.33
2018,LEM_ITALIANO,13,501.12
2018,LEM_ITALIANO,14,515.9
2018,LEM_ITALIANO,15,530.68
2018,LEM_FRANCÊS,1,323.93
2018,LEM_FRANCÊS,2,340.77
2018,LEM_FRANCÊS,3,357.61
2018,LEM_FRANCÊS,4,374.44
2018,LEM_FRANCÊS,5,391.28
2018,LEM_FRANCÊS,6,408.12
2018,LEM_FRANCÊS,7,424.96
2018,LEM_FRANCÊS,8,441.8
2018,LEM_FRANCÊS,9,458.64
2018,LEM_FRANCÊS,10,475.48
2018,LEM_FRANCÊS,11,492.32
2018,LEM_FRANCÊS,12,509.16
2018,LEM_FRANCÊS,13,526.0
2018,LEM_FRANCÊS,14,542.84
2018,LEM_FRANCÊS,15,559.68
2018,LEM_ALEMÃO,1,311.33
2018,LEM_ALEMÃO,2,326.44
2018,LEM_ALEMÃO,3,341.55
2018,LEM_ALEMÃO,4,356.66
2018,LEM_ALEMÃO,5,371.77
2018,LEM_ALEMÃO,6,386.87
2018,LEM_ALEMÃO,7,401.98
2018,LEM_ALEMÃO,8,417.09
2018,LEM_ALEMÃO,9,432.2
2018,LEM_ALEMÃO,10,447.31
2018,LEM_ALEMÃO,11,462.41
2018,LEM_ALEMÃO,12,477.52
2018,LEM_ALEMÃO,13,492.63
2018,LEM_ALEMÃO,14,507.74
2018,LEM_ALEMÃO,15,522.85
2018,PORT_RED,1,196.25
2018,PORT_RED,2,219.3
2018,PORT_RED,3,242.35
2018,PORT_RED,4,265.4
2018,PORT_RED,5,288.45
2018,PORT_RED,6,311.51
2018,PORT_RED,7,334.56
2018,PORT_RED,8,357.61
2018,PORT_RED,9,380.66
2018,PORT_RED,10,403.71
2018,PORT_RED,11,426.76
2018,PORT_RED,12,449.81
2018,PORT_RED,13,472.87
2018,PORT_RED,14,495.92
2018,PORT_RED,15,518.97
2018,BIO,1,230.03
2018,BIO,2,253.79
2018,BIO,3,277.56
2018,BIO,4,301.32
2018,BIO,5,325.08
2018,BIO,6,348.84
2018,BIO,7,372.6
2018,BIO,8,396.36
2018,BIO,9,420.12
2018,BIO,10,443.88
2018,BIO,11,467.64
2018,BIO,12,491.4
2018,BIO,13,515.16
2018,BIO,14,538.93
2018,BIO,15,562.69
2018,QUI,1,302.2
2018,QUI,2,327.42
2018,QUI,3,352.65
2018,QUI,4,377.87
2018,QUI,5,403.09
2018,QUI,6,428.32
2018,QUI,7,453.54
2018,QUI,8,478.77
2018,QUI,9,503.99
2018,QUI,10,529.21
2018,QUI,11,554.44
2018,QUI,12,579.66
2018,QUI,13,604.89
2018,QUI,14,630.11
2018,QUI,15,655.33
2018,GEO,1,255.27
2018,GEO,2,279.31
2018,GEO,3,303.35
2018,GEO,4,327.38
2018,GEO,5,351.42
2018,GEO,6,375.45
2018,GEO,7,399.49
2018,GEO,8,423.53
2018,GEO,9,447.56
2018,GEO,10,471.6
2018,GEO,11,495.64
2018,GEO,12,519.67
2018,GEO,13,543.71
2018,GEO,14,567.74
2018,GEO,15,591.78
2018,HIS,1,209.71
2018,HIS,2,232.52
2018,HIS,3,255.33
2018,HIS,4,278.14
2018,HIS,5,300.95
2018,HIS,6,323.76
2018,HIS,7,346.57
2018,HIS,8,369.39
2018,HIS,9,392.2
2018,HIS,10,415.01
2018,HIS,11,437.82
2018,HIS,12,460.63
2018,HIS,13,483.44
2018,HIS,14,506.25
2018,HIS,15,529.06
2018,MAT,1,320.78
2018,MAT,2,339.45
2018,MAT,3,358.13
2018,MAT,4,376.8
2018,MAT,5,395.47
2018,MAT,6,414.15
2018,MAT,7,432.82
2018,MAT,8,451.49
2018,MAT,9,470.17
2018,MAT,10,488.84
2018,MAT,11,507.51
2018,MAT,12,526.19
2018,MAT,13,544.86
2018,MAT,14,563.53
2018,MAT,15,582.21
2019,FIS,1,315.18
2019,FIS,2,340.9
2019,FIS,3,366.63
2019,FIS,4,392.35
2019,FIS,5,418.08
2019,FIS,6,443.81
2019,FIS,7,469.53
2019,FIS,8,495.26
2019,FIS,9,520.98
2019,FIS,10,546.71
2019,FIS,11,572.43
2019,FIS,12,598.16
2019,FIS,13,623.88
2019,FIS,14,649.61
2019,FIS,15,675.33
2019,LIT,1,270.42
2019,LIT,2,291.63
2019,LIT,3,312.83
2019,LIT,4,334.04
2019,LIT,5,355.25
2019,LIT,6,376.46
2019,LIT,7,397.67
2019,LIT,8,418.87
2019,LIT,9,440.08
2019,LIT,10,461.29
2019,LIT,11,482.5
2019,LIT,12,503.7
2019,LIT,13,524.91
2019,LIT,14,546.12
2019,LIT,15,567.33
2019,LEM_INGLÊS,1,300.98
2019,LEM_INGLÊS,2,324.71
2019,LEM_INGLÊS,3,348.44
2019,LEM_INGLÊS,4,372.17
2019,LEM_INGLÊS,5,395.89
2019,LEM_INGLÊS,6,419.62
2019,LEM_INGLÊS,7,443.35
2019,LEM_INGLÊS,8,467.08
2019,LEM_INGLÊS,9,490.81
2019,LEM_INGLÊS,10,514.54
2019,LEM_INGLÊS,11,538.27
2019,LEM_INGLÊS,12,562.0
2019,LEM_INGLÊS,13,585.73
2019,LEM_INGLÊS,14,609.46
2019,LEM_INGLÊS,15,633.19
2019,LEM_ESPANHOL,1,246.92
2019,LEM_ESPANHOL,2,272.01
2019,LEM_ESPANHOL,3,297.11
2019,LEM_ESPANHOL,4,322.2
2019,LEM_ESPANHOL,5,347.3
2019,LEM_ESPANHOL,6,372.39
2019,LEM_ESPANHOL,7,397.49
2019,LEM_ESPANHOL,8,422.58
2019,LEM_ESPANHOL,9,447.67
2019,LEM_ESPANHOL,10,472.77
2019,LEM_ESPANHOL,11,497.86
2019,LEM_ESPANHOL,12,522.96
2019,LEM_ESPANHOL,13,548.05
2019,LEM_ESPANHOL,14,573.15
2019,LEM_ESPANHOL,15,598.24
2019,LEM_ITALIANO,1,290.12
2019,LEM_ITALIANO,2,308.66
2019,LEM_ITALIANO,3,327.2
2019,LEM_ITALIANO,4,345.75
2019,LEM_ITALIANO,5,364.29
2019,LEM_ITALIANO,6,382.84
2019,LEM_ITALIANO,7,401.38
2019,LEM_ITALIANO,8,419.92
2019,LEM_ITALIANO,9,438.47
2019,LEM_ITALIANO,10,457.01
2019,LEM_ITALIANO,11,475.56
2019,LEM_ITALIANO,12,494.1
2019,LEM_ITALIANO,13,512.64
2019,LEM_ITALIANO,14,531.19
2019,LEM_ITALIANO,15,549.73
2019,LEM_FRANCÊS,1,323.19
2019,LEM_FRANCÊS,2,341.23
2019,LEM_FRANCÊS,3,359.27
2019,LEM_FRANCÊS,4,377.31
2019,LEM_FRANCÊS,5,395.36
2019,LEM_FRANCÊS,6,413.4
2019,LEM_FRANCÊS,7,431.44
2019,LEM_FRANCÊS,8,449.48
2019,LEM_FRANCÊS,9,467.52
2019,LEM_FRANCÊS,10,485.57
2019,LEM_FRANCÊS,11,503.61
2019,LEM_FRANCÊS,12,521.65
2019,LEM_FRANCÊS,13,539.69
2019,LEM_FRANCÊS,14,557.73
2019,LEM_FRANCÊS,15,575.78
2019,LEM_ALEMÃO,1,312.28
2019,LEM_ALEMÃO,2,327.78
2019,LEM_ALEMÃO,3,343.29
2019,LEM_ALEMÃO,4,358.79
2019,LEM_ALEMÃO,5,374.3
2019,LEM_ALEMÃO,6,389.8
2019,LEM_ALEMÃO,7,405.31
2019,LEM_ALEMÃO,8,420.81
2019,LEM_ALEMÃO,9,436.32
2019,LEM_ALEMÃO,10,451.82
2019,LEM_ALEMÃO,11,467.33
2019,LEM_ALEMÃO,12,482.83
2019,LEM_ALEMÃO,13,498.34
2019,LEM_ALEMÃO,14,513.84
2019,LEM_ALEMÃO,15,529.35
2019,PORT_RED,1,230.13
2019,PORT_RED,2,252.92
2019,PORT_RED,3,275.72
2019,PORT_RED,4,298.51
2019,PORT_RED,5,321.31
2019,PORT_RED,6,344.1
2019,PORT_RED,7,366.9
2019,PORT_RED,8,389.69
2019,PORT_RED,9,412.49
2019,PORT_RED,10,435.28
2019,PORT_RED,11,458.08
2019,PORT_RED,12,480.87
2019,PORT_RED,13,503.67
2019,PORT_RED,14,526.46
2019,PORT_RED,15,549.25
2019,BIO,1,282.77
2019,BIO,2,305.78
2019,BIO,3,328.8
2019,BIO,4,351.82
2019,BIO,5,374.84
2019,BIO,6,397.85
2019,BIO,7,420.87
2019,BIO,8,443.89
2019,BIO,9,466.9
2019,BIO,10,489.92
2019,BIO,11,512.94
2019,BIO,12,535.95
2019,BIO,13,558.97
2019,BIO,14,581.99
2019,BIO,15,605.01
2019,QUI,1,334.33
2019,QUI,2,354.54
2019,QUI,3,374.75
2019,QUI,4,394.95
2019,QUI,5,415.16
2019,QUI,6,435.37
2019,QUI,7,455.58
2019,QUI,8,475.79
2019,QUI,9,495.99
2019,QUI,10,516.2
2019,QUI,11,536.41
2019,QUI,12,556.62
2019,QUI,13,576.83
2019,QUI,14,597.04
2019,QUI,15,617.24
2019,GEO,1,195.62
2019,GEO,2,221.67
2019,GEO,3,247.71
2019,GEO,4,273.76
2019,GEO,5,299.8
2019,GEO,6,325.85
2019,GEO,7,351.9
2019,GEO,8,377.94
2019,GEO,9,403.99
2019,GEO,10,430.04
2019,GEO,11,456.08
2019,GEO,12,482.13
2019,GEO,13,508.18
2019,GEO,14,534.22
2019,GEO,15,560.27
2019,HIS,1,234.72
2019,HIS,2,261.35
2019,HIS,3,287.97
2019,HIS,4,314.6
2019,HIS,5,341.22
2019,HIS,6,367.85
2019,HIS,7,394.47
2019,HIS,8,421.09
2019,HIS,9,447.72
2019,HIS,10,474.34
2019,HIS,11,500.97
2019,HIS,12,527.59
2019,HIS,13,554.22
2019,HIS,14,580.84
2019,HIS,15,607.47
2019,MAT,1,328.73
2019,MAT,2,348.26
2019,MAT,3,367.79
2019,MAT,4,387.32
2019,MAT,5,406.84
2019,MAT,6,426.37
2019,MAT,7,445.9
